EPA-Reported Beach Closure Days,,,,,
Days,,,,,
Year,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior
2000,14,48,185,26,NA
2001,9,6,180,27,NA
2002,9,39,387,28,NA
2003,151,12,583,28,10
2004,247,10,923,125,24
2005,291,25,979,120,81
2006,329,39,1314,89,9
2007,218,14,1262,93,44
2008,207,15,838,110,114
2009,302,40,546,134,7
2010,297,39,867,116,94
2011,210,81,623,101,84
2012,304,69,371,208,256
2013,250,9,284,90,64
2014,228,75,506,58,40
2015,304,48,1154,135,79
2016,97,33,318,68,117
2017,207,65,341,98,84
2018,135,39,359,120,420
2019,133,44,576,29,95
2020,100,20,336,41,86
2021,110,28,207,127,56
2022,88,16,483,133,45
2023,191,82,265,96,42
