Commercial Fishing Real Revenue,,,,,,,
$Billion (2022 Dollars),,,,,,,
Year,Alaska,California Current,Gulf of Mexico,Hawaii,Northeast,Southeast,National
1980,1.801275837,1.46954312,1.66990478,NA,2.121348916,0.278384637,7.340457291
1981,1.891802957,1.297099288,1.689223069,0.054664993,1.946393873,0.224974843,7.104159022
1982,1.604332677,1.086158015,1.752234677,0.040507909,1.891130324,0.296571914,6.670935516
1983,1.490421125,0.810950079,1.72375163,0.048687541,1.953901057,0.294733043,6.322444476
1984,1.326283915,0.747276455,1.730698,0.076680076,1.975303469,0.248333839,6.104575754
1985,1.521811386,0.697137783,1.567907105,0.055458191,1.831177702,0.235384155,5.908876322
1986,1.98825314,0.807023063,1.996521258,0.049649813,1.900376916,0.233752767,6.975576957
1987,2.34174852,1.08573535,1.83892339,0.065180689,2.096066593,0.246936657,7.674591199
1988,3.166058157,1.053265667,1.637258654,0.091046378,1.973246034,0.25358822,8.174463111
1989,2.784124657,0.821046515,1.515163983,0.102944562,1.949479269,0.25036741,7.423126396
1990,3.096467875,0.738408548,1.385727243,0.134778032,1.956462406,0.226317909,7.538162012
1991,2.527838803,0.614129335,1.358819955,0.114798171,1.921257869,0.213424861,6.750268994
1992,3.210618201,0.602147207,1.267681572,0.135618264,1.848458149,0.19047639,7.254999783
1993,2.346433057,0.586063121,1.17229654,0.129544287,1.794806823,0.203877839,6.233021668
1994,2.501172277,0.631215422,1.446632982,0.11418588,1.79427852,0.236989287,6.724474369
1995,2.514805786,0.660321914,1.361688518,0.106409066,1.844478164,0.248479977,6.736183425
1996,2.106689994,0.680459885,1.237024951,0.111026892,1.764954952,0.188194948,6.088351621
1997,1.995597762,0.635372673,1.302919874,0.115973472,1.757933985,0.195343028,6.003140793
1998,1.620211815,0.44946925,1.308340538,0.103176067,1.658817742,0.16200567,5.302021082
1999,1.79422146,0.554643184,1.340505204,0.104999278,1.80989794,0.172203328,5.776470394
2000,1.505897306,0.565369415,1.570366981,0.107707277,1.80138661,0.176686889,5.727414477
2001,1.330958191,0.491053762,1.23593449,0.083481169,1.64471175,0.137510961,4.923650322
2002,1.222370425,0.48792079,1.027194237,0.078576745,1.708309656,0.114920014,4.639291867
2003,1.457614515,0.582834954,0.976832564,0.077278264,1.669227943,0.105964502,4.869752743
2004,1.724889379,0.603316363,0.921195937,0.082371224,1.900458376,0.118374898,5.350606177
2005,1.786885457,0.584481249,0.857180277,0.09830344,2.072190345,0.093083299,5.492124068
2006,1.804173473,0.607563177,0.912177592,0.089800205,2.120657331,0.095180769,5.629552547
2007,2.013894752,0.612605171,0.905429242,0.098963718,1.855815238,0.093609447,5.580317568
2008,2.211600564,0.602911541,0.848433787,0.106885075,1.765053409,0.101517409,5.636401785
2009,1.645550774,0.642773895,0.803289742,0.090000949,1.692826784,0.089770286,4.96421243
2010,2.042239251,0.707953195,0.751018371,0.104497215,2.03703369,0.109152982,5.751894704
2011,2.434578432,0.86081095,0.96991276,0.110357597,2.10973704,0.124733947,6.610130726
2012,2.323794704,0.824606394,0.92198333,0.132588936,2.188258185,0.122125103,6.513356652
2013,2.184863473,0.95230781,1.082170772,0.12565939,1.955614631,0.102151058,6.402767134
2014,1.95978986,0.871803659,1.209852889,0.11596402,2.077558669,0.114091904,6.349061001
2015,2.021028079,0.715105782,0.975870143,0.118239825,2.185230924,0.108354329,6.123829082
2016,1.7509143,0.833746592,1.003660349,0.133428297,2.347408014,0.10835962,6.177517173
2017,2.214257156,0.817532681,0.965214543,0.12870055,2.147079438,0.118139678,6.390924046
2018,1.922957978,0.803765725,0.961063157,0.128584061,2.169320743,0.106142611,6.091834274
2019,1.859176174,0.720983009,0.864941489,0.116324387,2.214298275,0.120683834,5.896407168
2020,1.550628674,0.58685941,0.766918244,0.087794106,1.880967299,0.110081515,4.983249248
2021,2.213586175,0.762659897,0.993719518,0.139453882,2.837308562,0.125364566,7.0720926
2022,1.89410563,0.623025088,0.891242935,0.135221279,1.89967706,0.095906693,5.539178685
