Forage Fish,,,,,
Average Relative Abundance,Southern CCE Realtive Coolwater Abundance of,Aggregate Forage Fish Biomass,Millions of Tons,kg tow^-1,CPUE Index Score
Year,Southern CCE,Alaska - Eastern Bering Sea,Gulf of Mexico,Northeast US,Southeast US
1978,NA,NA,NA,7.782484875,NA
1979,NA,NA,NA,6.407746921,NA
1980,NA,NA,1.11065,6.236510487,NA
1981,NA,NA,1.60277,13.95025414,NA
1982,NA,NA,1.98164,4.565949911,NA
1983,NA,NA,1.69186,6.189419331,NA
1984,NA,NA,1.60515,6.201234315,NA
1985,NA,NA,2.10757,6.207784632,NA
1986,NA,NA,1.74024,8.6172566,NA
1987,NA,2818,1.43852,9.441604272,NA
1988,NA,6158,1.0457,10.63843197,NA
1989,NA,2572,1.04385,5.217221054,NA
1990,NA,7813,1.2126,5.754805189,3.69
1991,NA,10980,1.03851,10.7627043,1.16
1992,NA,11628,0.97078,9.937306565,0.86
1993,NA,NA,1.64449,13.98509516,0.47
1994,NA,7491,1.94131,10.41631963,0.36
1995,NA,7835,1.66579,10.48363005,0.17
1996,NA,4778,1.75297,13.99593128,0.27
1997,1.167470907,9290,2.08088,11.14461671,0.22
1998,1.171882048,6684,1.90191,9.822046747,0.75
1999,1.276535069,3669,2.36373,18.26808893,0.25
2000,1.391672825,6453,2.36112,10.67285047,0.85
2001,1.069474119,6273,1.99398,17.88824082,0.81
2002,1.547773041,7004,1.83139,12.40043269,0.89
2003,0.917823827,12060,1.54585,14.7635954,1.08
2004,1.166339573,11217,1.83465,10.76806642,0.45
2005,1.201267404,4742,1.85684,7.239352411,1.2
2006,1.061626363,4845,2.21763,12.57563466,3.19
2007,0.833303205,4674,3.01993,10.93529647,0.41
2008,1.145023469,3083,3.1271,13.78155804,0.63
2009,0.777498201,3451,2.10581,17.61385421,2.34
2010,0.823095915,10022,2.14054,11.45372854,0.8
2011,0.966309069,11479,3.37373,13.49449353,1.45
2012,0.997621436,9387,4.3873,11.29402664,1.22
2013,0.966845857,10697,3.8522,8.863355513,0.86
2014,1.05045666,11075,3.03135,7.25623116,0.8
2015,1.003158493,9746,5.29388,21.62570609,1.16
2016,0.967555001,4031,NA,11.60057936,0.33
2017,1.095282848,1968,NA,15.86265217,1.33
2018,1.211000673,742,NA,10.80410424,NA
2019,1.374541605,2110,NA,11.38572355,NA
2020,NA,NA,NA,6.318794509,NA
2021,1.264426817,796,NA,15.82096901,NA
2022,1.662316469,NA,NA,14.37051429,NA
