Sea Level,,,,,,,,,
Sea Level (m),,,,,,,,,
Year,Hawaii-Pacific Islands,Northeast,Southeast,Gulf of Mexico,California Current,Southern Alaska,Northern Alaska,Caribbean,National
1980,-0.04,-0.115,-0.089,-0.064,-0.023,0.0735,NA,-0.0305,-0.04133
1981,0.01,-0.1065,-0.107,-0.081,-0.022,0.121,NA,NA,-0.0391
1982,-0.06,-0.089,-0.074,-0.065,0.027,0.035,NA,0.006,-0.02667
1983,-0.06,-0.007,-0.008,-0.025,0.0985,0.127,NA,0.001,0.031083
1984,0,-0.028,-0.041,-0.0365,0.0015,0.093,NA,-0.0225,-0.00558
1985,-0.02,-0.061,-0.039,-0.038,-0.07,0.004,NA,-0.0045,-0.03475
1986,-0.08,-0.058,-0.026,-0.032,-0.006,0.056,NA,-0.006,-0.012
1987,-0.06,-0.0375,-0.038,-0.069,-0.009,0.115,NA,-0.0265,-0.01083
1988,0.01,-0.086,-0.079,-0.083,-0.064,0.119,NA,-0.051,-0.04067
1989,-0.03,-0.08,-0.076,-0.064,-0.059,-0.001,0.028,-0.05,-0.04314
1990,-0.06,-0.0765,-0.053,-0.0225,-0.029,0.003,NA,-0.043,-0.03683
1991,-0.04,-0.0405,-0.001,0.0015,-0.028,0.0365,-0.004,-0.001,-0.00521
1992,-0.01,-0.028,-0.006,-0.0175,0.051,0.0745,0.038,-0.0045,0.015357
1993,-0.01,-0.011,-0.008,-0.028,0.0255,0.053,0.052,-0.018,0.009357
1994,-0.03,-0.062,-0.025,-0.0175,-0.0155,0.034,-0.036,0.0155,-0.01521
1995,0,-0.0375,0.017,0.0085,0.0255,0.031,-0.031,-0.03,-0.00236
1996,0.03,0.0245,-0.046,-0.047,-0.005,-0.035,0.005,-0.0315,-0.01929
1997,0,0.016,0.0035,-0.015,0.066,0.059,-0.003,-0.0065,0.017143
1998,-0.05,0.045,-0.0135,0.019,0.049,0.032,-0.011,0.0235,0.020571
1999,-0.01,-0.0045,0.032,0.007,-0.051,-0.003,-0.086,-0.034,-0.01993
2000,-0.03,-0.025,0.0025,-0.0225,-0.033,-0.011,0.0055,-0.033,-0.01664
2001,-0.01,-0.02,-0.019,-0.0295,-0.04,0.014,-0.0255,0.0275,-0.01321
2002,-0.03,-0.03,-0.001,0.002,-0.025,-0.031,0.005,-0.004,-0.012
2003,0.03,-0.0045,-0.02,0.023,0.0035,0.012,0.063,0.0325,0.015643
2004,0.05,-0.001,-0.03,0.0095,0.0065,-0.021,0.031,-0.0075,-0.00179
2005,0.02,0.055,0.042,0.033,0.015,0.0075,0.002,0.0075,0.023143
2006,0.04,0.034,-0.004,-0.019,0.024,-0.024,0.041,0.017,0.009857
2007,0.01,-0.0075,0.019,0.017,-0.042,-0.053,-0.032,0.032,-0.0095
2008,0.03,0.0205,0.003,0.019,-0.03,-0.0495,0,0.028,-0.00129
2009,-0.02,0.06,0.033,0.046,-0.0095,-0.091,-0.002,-0.025,0.001643
2010,0.01,0.096,0.018,0.04,0.012,-0.0275,-0.04,0.039,0.019643
2011,0,0.088,0.012,0.011,-0.004,-0.0785,0.032,0.0225,0.011857
2012,0.04,0.074,0.059,0.078,0.016,-0.0765,-0.015,0.0665,0.028857
2013,0.06,0.047,0.056,0.073,-0.038,-0.148,-0.037,0.033,-0.002
2014,0.03,0.056,0.094,0.0625,0.061,-0.0525,0.002,0.068,0.041571
2015,0.03,0.032,0.1,0.097,0.074,-0.042,0.033,0.0905,0.054929
2016,0.07,0.066,0.102,0.1345,0.048,-0.0285,0.109,0.0695,0.0715
2017,0.11,0.08,0.0855,0.107,0.057,-0.105,0.0745,0.03,0.047
2018,0.06,0.099,0.066,0.097,0.0355,-0.147,0.096,0.057,0.043357
2019,0.07,0.129,0.1545,0.156,0.049,-0.14,0.121,0.0705,0.077143
2020,0.1,0.114,0.128,0.144,0.017,-0.126,0.0895,0.0555,0.060286
2021,0.07,0.109684,0.112957,0.132157,0.019496,-0.09913,0.076863,0.066498,0.05979
2022,0.030109667,0.092434233,0.137831,0.143516667,0.014146833,-0.101592652,0.046612592,0.080177667,0.055404501
