Coastal County Tourism Employment,,,,,,,,,,,,,,
% Change Employment,,,,,,,,,,,,,,
Year,Alaska,California Current,Caribbean,Gulf of Mexico,Hawaii,Lake Erie,Lake Huron,Lake Ontario,Lake Superior,Northeast,Southeast,National,Lake Michigan,Great Lakes
2006,1.474414571,2.958332395,-1.184551763,0.626422815,9.946475479,0.917615976,-1.876411652,-1.075779476,-0.478579699,3.262020492,2.423961901,1.521191613,0.037361704,-0.495158629
2007,2.645856559,2.926365856,-1.079585757,4.361020706,-5.888587493,1.350700885,0.230183557,2.707215763,0.224928256,1.316031386,2.879563275,1.243759265,-0.059311386,0.890743415
2008,0.829049309,1.04495356,-1.283540564,1.343828074,5.865735173,0.36430611,-2.314215051,0.705198553,-1.787648971,1.321491336,0.907608961,0.417966393,-0.236765241,-0.65382492
2009,-2.649815087,-4.349792662,-4.016910248,-0.53028805,-12.47610977,-2.907909468,-3.309421906,0.153371138,-4.073753053,-1.822511617,-3.557153194,-3.673836368,-0.191362204,-2.065815099
2010,-0.169660311,0.026302711,1.507514871,0.27685999,7.133954782,-0.15572343,-1.078553616,1.757037216,-0.517496304,1.661605428,0.642141837,0.985557656,0.164858453,0.034024464
2011,3.709313925,2.321472111,1.658092895,3.572022892,-5.12445799,1.314403072,0.018907166,2.786083444,-1.453224342,2.947767763,3.433800622,1.321351248,0.094930981,0.552220064
2012,2.301307399,3.929760152,3.766666178,4.498358365,4.039278078,1.837325859,1.701323251,1.207906296,1.064097193,4.123461922,3.718520917,3.931786805,-0.005264725,1.161077575
2013,0.752167706,4.693952635,4.154357198,4.11753774,12.19184353,0.515231941,3.457249071,8.078423908,-1.00315039,3.216420283,3.491932547,3.933589397,-1.188749244,1.971801057
2014,1.441260844,4.695304632,1.563433038,4.402730551,1.679920822,1.861514353,-0.964187328,1.509360855,-0.728582196,2.901769498,3.899239865,1.961020093,-1.892191707,-0.042817205
2015,2.296422487,3.965254616,0.490405687,3.796538873,0.805163979,1.125349382,-2.213218843,0.919564161,1.417243125,3.349503774,4.998747246,1.848847273,-2.476848348,-0.245582105
2016,0.955901945,3.736639089,0.546520751,3.133557768,3.163592011,2.023928271,6.357058933,1.86707011,0.424222259,2.506529475,4.106284168,2.339400629,-3.280622024,1.47833151
2017,-0.544356834,2.35668955,-2.564339937,1.677618313,-4.292388154,0.740093399,-2.540845398,-5.317963951,1.176178249,2.665630413,1.599099598,-0.039280098,-4.299640455,-2.048435631
2018,0.756319246,2.534053897,-8.96369189,2.101154652,0.502706551,0.330730861,-0.411645388,2.474109196,-0.483012689,1.714017182,2.186637458,0.579627814,-6.488511187,-0.915665841
2019,1.623098703,2.341956609,8.690790356,2.070310425,1.944432589,-0.139962172,3.869885581,-0.667953869,1.209279368,0.982226884,0.934565209,1.818539031,-10.93121241,-1.3319927
2020,-26.45867755,-28.57037872,-17.6351166,-16.29377105,-37.77013053,-29.09449053,-19.29753734,-26.0415025,-19.40990002,-29.55662043,-19.93697523,-24.19787137,-22.25361367,-23.21940881
